83,goharbor/harbor,https://github.com/goharbor/harbor,TBD,TBD,TBD
84,google-deepmind/superhuman,https://github.com/google-deepmind/superhuman,TBD,TBD,TBD
85,google/magika,https://github.com/google/magika,TBD,TBD,TBD
86,grab/cursor-talk-to-figma-mcp,https://github.com/grab/cursor-talk-to-figma-mcp,TBD,TBD,TBD
87,gyoridavid/ai_agents_az,https://github.com/gyoridavid/ai_agents_az,TBD,TBD,TBD
88,hacksider/Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,TBD,TBD,TBD
89,harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,TBD,TBD,TBD
90,hesreallyhim/awesome-claude-code,https://github.com/hesreallyhim/awesome-claude-code,TBD,TBD,TBD
91,huggingface/skills,https://github.com/huggingface/skills,TBD,TBD,TBD
92,inclusionAI/AReaL,https://github.com/inclusionAI/AReaL,TBD,TBD,TBD
93,j178/prek,https://github.com/j178/prek,TBD,TBD,TBD
94,jamwithai/production-agentic-rag-course,https://github.com/jamwithai/production-agentic-rag-course,TBD,TBD,TBD
95,jingyaogong/minimind,https://github.com/jingyaogong/minimind,TBD,TBD,TBD
96,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,TBD,TBD,TBD
97,kepano/obsidian-skills,https://github.com/kepano/obsidian-skills,TBD,TBD,TBD
98,koala73/worldmonitor,https://github.com/koala73/worldmonitor,TBD,TBD,TBD
99,kubernetes/ingress-nginx,https://github.com/kubernetes/ingress-nginx,TBD,TBD,TBD
100,langchain-ai/deepagents,https://github.com/langchain-ai/deepagents,TBD,TBD,TBD
101,langchain-ai/open-swe,https://github.com/langchain-ai/open-swe,TBD,TBD,TBD
102,langchain-ai/rag-from-scratch,https://github.com/langchain-ai/rag-from-scratch,TBD,TBD,TBD
103,langflow-ai/openrag,https://github.com/langflow-ai/openrag,TBD,TBD,TBD
104,letta-ai/claude-subconscious,https://github.com/letta-ai/claude-subconscious,TBD,TBD,TBD
105,lingfengQAQ/webnovel-writer,https://github.com/lingfengQAQ/webnovel-writer,TBD,TBD,TBD
106,linshenkx/prompt-optimizer,https://github.com/linshenkx/prompt-optimizer,TBD,TBD,TBD
107,liyupi/ai-guide,https://github.com/liyupi/ai-guide,TBD,TBD,TBD
108,lsdefine/GenericAgent,https://github.com/lsdefine/GenericAgent,TBD,TBD,TBD
109,lukasz-madon/awesome-remote-job,https://github.com/lukasz-madon/awesome-remote-job,TBD,TBD,TBD
110,luongnv89/claude-howto,https://github.com/luongnv89/claude-howto,TBD,TBD,TBD
111,manaflow-ai/cmux,https://github.com/manaflow-ai/cmux,TBD,TBD,TBD
112,microsoft/markitdown,https://github.com/microsoft/markitdown,TBD,TBD,TBD
113,mihail911/modern-software-dev-assignments,https://github.com/mihail911/modern-software-dev-assignments,TBD,TBD,TBD
114,moltbot/moltbot,https://github.com/moltbot/moltbot,TBD,TBD,TBD
115,moonshine-ai/moonshine,https://github.com/moonshine-ai/moonshine,TBD,TBD,TBD
116,msitarzewski/agency-agents,https://github.com/msitarzewski/agency-agents,TBD,TBD,TBD
117,multica-ai/multica,https://github.com/multica-ai/multica,TBD,TBD,TBD
118,muratcankoylan/Agent-Skills-for-Context-Engineering,https://github.com/muratcankoylan/Agent-Skills-for-Context-Engineering,TBD,TBD,TBD
119,mvanhorn/last30days-skill,https://github.com/mvanhorn/last30days-skill,TBD,TBD,TBD
120,nautechsystems/nautilus_trader,https://github.com/nautechsystems/nautilus_trader,TBD,TBD,TBD
121,neovim/neovim,https://github.com/neovim/neovim,TBD,TBD,TBD
122,netbirdio/netbird,https://github.com/netbirdio/netbird,TBD,TBD,TBD
